ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
,variation,HMH-NUT-BCUGDB,,1,,,,Scietetics Ful V Tech Element Transfer System is a concentrated blend of the best fulvic acids (five types V) catered for plant system fortification as well as commercial Gardening irrigation strategy. This clean formula will stabilize basic fertilizer solutions and increase solubility through emitters and injectors. Expect higher qualitative characteristics out of the crop and more response from fertilizers used in compatibility. NPK is 0-0-0 and the product is registered as a molybdenum fertilizer. Directions for use: Mix 5-10 ml per gallon of water. Use with every watering as needed. Mix well and adjust pH accordingly. Shake well before use. Foliar Applications. 5 ml per gallon of water. Use only as directed and keep out of reach of children.,,,taxable,,0,0,,0,,10,4,4,8,,,2999.00,3540.00,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2026/02/Sun-System-LEC-315-240v-Light-Emitting-Ceramic-Metal-Halide-Fixture-w-Free-Ratchet-Light-Hangers-200x114.jpg.webp,,,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC,,,,,,9,,Size,55,,1
,variable,HMH-Y-CONNECTOR-E07E,Y-Connector,1,0,visible,"Y-Connector 10x8x8 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers ","Y-Connector 12x10x10 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,,,0,0,,,,,1,,,,irrigation,,,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,,,,,,,0,NGW,Size,"10"" × 8"" × 8"" | 12"" × 10"" × 10"" | 12"" × 12"" × 12"" | 4"" × 4"" × 4"" | 6"" × 4"" × 4"" | 6"" × 6"" × 6"" | 8"" × 6"" × 6"" | 8"" × 8"" × 8""",1,1
,variation,1692,,1,,,,"Y-Connector 10x8x8 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,4,,0,,1.1,8,6,4,,,,22.43,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,HMH-Y-CONNECTOR-E07E,,,,,,0,,Size,"10"" × 8"" × 8""",,1
,variation,1694,,1,,,,"Y-Connector 12x10x10 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,2,,0,,1.1,8,6,4,,,,32.54,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,HMH-Y-CONNECTOR-E07E,,,,,,1,,Size,"12"" × 10"" × 10""",,1
,variation,1693,,1,,,,"Y-Connector 12x12x12 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,10,,0,,1.1,8,6,4,,,,32.54,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,HMH-Y-CONNECTOR-E07E,,,,,,2,,Size,"12"" × 12"" × 12""",,1
,variation,1687,,1,,,,"Y-Connector 4x4x4 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,1.1,8,6,4,,,,17.88,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,HMH-Y-CONNECTOR-E07E,,,,,,3,,Size,"4"" × 4"" × 4""",,1
,variation,1688,,1,,,,"Y-Connector 6x4x4 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,1.1,8,6,4,,,,17.88,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,HMH-Y-CONNECTOR-E07E,,,,,,4,,Size,"6"" × 4"" × 4""",,1
,variation,1689,,1,,,,"Y-Connector 6x6x6 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,1.1,8,6,4,,,,19.50,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,HMH-Y-CONNECTOR-E07E,,,,,,5,,Size,"6"" × 6"" × 6""",,1
,variation,1690,,1,,,,"Y-Connector 8x6x6 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,1.1,8,6,4,,,,19.50,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,HMH-Y-CONNECTOR-E07E,,,,,,6,,Size,"8"" × 6"" × 6""",,1
,variation,1691,,1,,,,"Y-Connector 8x8x8 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,3,,0,,1.1,8,6,4,,,,21.46,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/y-duct.jpg,,,HMH-Y-CONNECTOR-E07E,,,,,,7,,Size,"8"" × 8"" × 8""",,1
,variable,HMH-CLASSIC-D35B,Classic,1,0,visible,"Classic 2000 by BFG is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliab","Classic 2000 by BFG is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,,,0,0,,,,,1,,,,Pots/Containers,,,https://hmoonhydro.com/wp-content/uploads/2026/02/EP_lab_shot_3000_x_2000_480x480-1-200x133-1.webp,,,,,,,,,0,BFG,Size,2000 | 300 | 350 | 400 | 600 | 900,1,1
,variation,958,,1,,,,"Classic 2000 by BFG is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,112,,0,,1.1,12,12,12,,,,3.29,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2026/02/EP_lab_shot_3000_x_2000_480x480-1-200x133-1.webp,,,HMH-CLASSIC-D35B,,,,,,0,,Size,2000,,1
,variation,951,,1,,,,"Classic 300 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,410,,0,,1.1,12,12,12,,,,1.12,,,Domestic,,,,HMH-CLASSIC-D35B,,,,,,1,,Size,300,,1
,variation,952,,1,,,,"Classic 350 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,797,,0,,1.1,12,12,12,,,,1.19,,,Domestic,,,,HMH-CLASSIC-D35B,,,,,,2,,Size,350,,1
,variation,953,,1,,,,"Classic 400 by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,1.1,12,12,12,,,,1.17,,,Domestic,,,,HMH-CLASSIC-D35B,,,,,,3,,Size,400,,1
,variation,954,,1,,,,"Classic 600 by BFG is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,108,,0,,1.1,12,12,12,,,,1.68,,,Domestic,,,,HMH-CLASSIC-D35B,,,,,,4,,Size,600,,1
,variation,955,,1,,,,"Classic 900 by BFG is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,300,,0,,1.1,12,12,12,,,,2.65,,,Domestic,,,,HMH-CLASSIC-D35B,,,,,,5,,Size,900,,1
,variable,HMH-ECOPLUS-51E5,EcoPlus,1,0,visible,"EcoPlus 264 GPH delivers accurate environmental measurements. Made by H Moon Hydro, this precision instrument helps maintain optimal growing condition","<p>EcoPlus 264 GPH delivers accurate environmental measurements. Made by H Moon Hydro, this precision instrument helps maintain optimal growing conditions with reliable readings.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Water Pumps,,,"https://hmoonhydro.com/wp-content/uploads/2019/08/ecoplus-pumpsICON.jpg, https://hmoonhydro.com/wp-content/uploads/2019/08/EcoPlus-Water-Pump-Logo.jpg",,,,,,,,,0,NGW,GPH,185 | 264 | 396 | 633,1,1
,variation,hmh01261,,1,,,,,,,taxable,,1,,,0,,5,6,4,4,,,,14.99,,,Domestic,,,,HMH-ECOPLUS-51E5,,,,,,0,,GPH,185,,1
,variation,hmh01262,,1,,,,,,,taxable,,0,,,0,,5,8,4,4,,,,23.95,,,Domestic,"https://hmoonhydro.com/wp-content/uploads/2019/08/ecoplus-pumpsICON.jpg, https://hmoonhydro.com/wp-content/uploads/2019/08/EcoPlus-Water-Pump-Logo.jpg",,,HMH-ECOPLUS-51E5,,,,,,1,,GPH,264,,1
,variation,hmh01263,,1,,,,,,,taxable,,0,,,0,,5,8,4,0,,,,27.95,,,Domestic,,,,HMH-ECOPLUS-51E5,,,,,,2,,GPH,396,,1
,variation,hmh01264,,1,,,,,,,taxable,,1,,,0,,8,9,6,6,,,,48.95,,,Domestic,,,,HMH-ECOPLUS-51E5,,,,,,3,,GPH,633,,1
,variation,914,,1,,,,"<p>EcoPlus 264 GPH delivers accurate environmental measurements. Made by H Moon Hydro, this precision instrument helps maintain optimal growing conditions with reliable readings.</p>",,,taxable,,0,0,,0,,2268,8,6,4,,,,21.50,,,LTL Freight,https://hmoonhydro.com/wp-content/uploads/2026/02/63f32241__EcoPlus-Water-Pump-Logo.jpg,,,HMH-ECOPLUS-51E5,,,,,,4,,GPH,264,,1
,variable,HMH-WORM-GEAR-CLAMP-CD7A,Worm Gear Clamp,1,0,visible,Worm Gear Clamp 10 by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies,"Worm Gear Clamp 10 by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,,,0,0,,,,,1,,,,Accessories,,,,,,,,,,,,0,Nickel City Wholesale Garden Supply,Size,10 | 12 | 4 | 6 | 8,1,1
,variation,1126,,1,,,,"Worm Gear Clamp 10 by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,15,,0,,1.1,24,24,6,,,,4.30,,,Domestic,,,,HMH-WORM-GEAR-CLAMP-CD7A,,,,,,0,,Size,10,,1
,variation,1125,,1,,,,"Worm Gear Clamp 12 by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,39,,0,,1.1,24,24,6,,,,5.87,,,Domestic,,,,HMH-WORM-GEAR-CLAMP-CD7A,,,,,,1,,Size,12,,1
,variation,707,,1,,,,"Worm Gear Clamp 4 by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,38,,0,,1.1,24,24,6,,,,1.56,,,Domestic,,,,HMH-WORM-GEAR-CLAMP-CD7A,,,,,,2,,Size,4,,1
,variation,708,,1,,,,"Worm Gear Clamp 6 by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,15,,0,,1.1,24,24,6,,,,1.96,,,Domestic,,,,HMH-WORM-GEAR-CLAMP-CD7A,,,,,,3,,Size,6,,1
,variation,709,,1,,,,"Worm Gear Clamp 8 by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,30,,0,,1.1,24,24,6,,,,3.91,,,Domestic,,,,HMH-WORM-GEAR-CLAMP-CD7A,,,,,,4,,Size,8,,1
,variable,HMH-PRE-FILTER-FOR-MODEL-PRO-F422,Pre-Filter for Model Pro,1,0,visible,"Pre-Filter for Model Pro 100 is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.","<p>Pre-Filter for Model Pro 100 is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,taxable,,1,,,0,0,,,,,1,,,,water_filtration,,,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,,,,,,,,0,Nickel City Wholesale Garden Supply,Size,100 | 125 | 50 | 75,1,1
,variation,hmh00745,,1,,,,"<p>Pre-Filter for Model Pro 50 is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,taxable,,0,0,,0,,1,6,6,6,,,,9.56,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,,HMH-PRE-FILTER-FOR-MODEL-PRO-F422,,,,,,0,,Size,50,,1
,variation,hmh00747,,1,,,,"<p>Pre-Filter for Model Pro 75 is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,taxable,,0,0,,0,,1,6,6,6,,,,12.56,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,,HMH-PRE-FILTER-FOR-MODEL-PRO-F422,,,,,,1,,Size,75,,1
,variation,hmh00748,,1,,,,"<p>Pre-Filter for Model Pro 100 is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,taxable,,0,0,,0,,1,12,12,12,,,,14.33,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,,HMH-PRE-FILTER-FOR-MODEL-PRO-F422,,,,,,2,,Size,100,,1
,variation,hmh00749,,1,,,,"<p>Pre-Filter for Model Pro 125 is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,taxable,,0,0,,0,,1,12,12,12,,,,19.78,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,,HMH-PRE-FILTER-FOR-MODEL-PRO-F422,,,,,,3,,Size,125,,1
,variable,HMH-CAN-FAN-HIGH-OUTPUT-BD75,Can-Fan high output,1,0,visible,"Can-Fan high output 178 CFM by GH is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product d","Can-Fan high output 178 CFM by GH is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,,,0,0,,,,,1,,,,airflow,,,https://hmoonhydro.com/wp-content/uploads/2019/08/can-fan_0474.jpg,,,,,,,,,0,GH,CFM,178 | 440 | 781 | 971,1,1
,variation,hmh00792,,1,,,,"Can-Fan high output 178 CFM by GH is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,12,8,8,8,,,,186.66,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/can-fan_0474.jpg,,,HMH-CAN-FAN-HIGH-OUTPUT-BD75,,,,,,0,,CFM,178,,1
,variation,hmh00794,,1,,,,"Can-Fan high output 440 CFM by GH is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,12,10,10,10,,,,226.66,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/can-fan_0474.jpg,,,HMH-CAN-FAN-HIGH-OUTPUT-BD75,,,,,,1,,CFM,440,,1
,variation,hmh00796,,1,,,,"Can-Fan high output 781 CFM by GH is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,19,14,14,14,,,,306.65,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/can-fan_0474.jpg,,,HMH-CAN-FAN-HIGH-OUTPUT-BD75,,,,,,2,,CFM,781,,1
,variation,hmh00797,,1,,,,"Can-Fan high output 971 CFM by GH is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,22,16,16,16,,,,433.31,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/can-fan_0474.jpg,,,HMH-CAN-FAN-HIGH-OUTPUT-BD75,,,,,,3,,CFM,971,,1
,variable,HMH-UNO-2-SPEED-IN-LINE-BLOWE-A77B,UNO-2 Speed in line Blower,1,0,visible,UNO-2 Speed in line Blower 190 cfm by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the g,"UNO-2 Speed in line Blower 190 cfm by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,1,,,0,0,,,,,1,,,,airflow,,,https://hmoonhydro.com/wp-content/uploads/2019/08/in-line-uno-blowers.jpg,,,,,,,,,0,Nickel City Wholesale Garden Supply,CFM,190 | 440 | 750 | 845,1,1
,variation,hmh01584,,1,,,,"UNO-2 Speed in line Blower 190 cfm by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,taxable,,0,0,,0,,10,10,10,10,,,39.95,104.95,,,Domestic,https://hmoonhydro.com/wp-content/uploads/2019/08/in-line-uno-blowers.jpg,,,HMH-UNO-2-SPEED-IN-LINE-BLOWE-A77B,,,,,,0,,CFM,190,,1
