product_id,sku,product_name,categories,current_wrong_image,suggested_google_search,replacement_image_url,notes
74508,750,BioChar FlowerFinisher1-5-7/,Hydroponic Systems | Indoor Growing | Organic Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=biochar+flowerfinisher1+hydroponics+product,,
74504,388,BiMatrix Slab,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=bimatrix+slab+hydroponics+product,,
74500,3552,Big Eas4.7 ft x 4.7 ft x 6.5 ft,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=big+eas4+hydroponics+product,,
74496,1405,Beyond Buds by Ed Rosenthal,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=beyond+buds+rosenthal+hydroponics+product,,
74493,2852,Beldon Jumbo Sq. 5.5x5.5x6,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=beldon+jumbo+5x5+5x6+hydroponics+product,,
74490,474,BC Bags smell proof bags sm-100,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=bags+smell+proof+bags+hydroponics+product,,
74489,465,BC Bags smell proof bags sm 25/,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=bags+smell+proof+bags+hydroponics+product,,
74488,477,BC Bags smell prof large-100 cs,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=bags+smell+prof+large+hydroponics+product,,
74487,466,BC Bags smell prof large 25/pk,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=bags+smell+prof+large+hydroponics+product,,
74470,1066,B'Cuzz Tabzz,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=cuzz+tabzz+hydroponics+product,,
74469,1075,B'Cuzz Soil Nutrition B,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=cuzz+soil+nutrition+hydroponics+product,,
74468,1074,B'Cuzz Soil Nutrition A,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=cuzz+soil+nutrition+hydroponics+product,,
74463,1071,B'Cuzz Hydro Nutrition B,Hydroponic Systems | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=cuzz+hydro+nutrition+hydroponics+product,,
74462,1070,B'Cuzz Hydro Nutrition A,Hydroponic Systems | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=cuzz+hydro+nutrition+hydroponics+product,,
74459,1069,B'Cuzz Flavor-C,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=cuzz+flavor+hydroponics+product,,
74445,1531,Auxilary Trolly,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=auxilary+trolly+hydroponics+product,,
74403,2381,Ask Ed Marijuana Success,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=ask+marijuana+success+hydroponics+product,,
74395,3549,Amber Label * Sativa,Hydroponic Systems | Indoor Growing | Organic Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=amber+sativa+hydroponics+product,,
74391,2260,Alice's Garden,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=alice+garden+hydroponics+product,,
74389,3446,Airstone med. round,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=airstone+med+round+hydroponics+product,,
74388,1951,AiroFlow Hood,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=airoflow+hood+hydroponics+product,,
74375,1568,Agromax MH Warm,Grow Lights &amp; Ballasts | Hid Lighting | Hydroponic Systems | Indoor Growing,category-hid-lighting.png,https://www.google.com/search?tbm=isch&q=agromax+warm+hydroponics+product,,
74374,1569,Agromax MH Conversion,Grow Lights &amp; Ballasts | Hid Lighting | Hydroponic Systems | Indoor Growing,category-hid-lighting.png,https://www.google.com/search?tbm=isch&q=agromax+conversion+hydroponics+product,,
74370,3484,Aeromixer Moves 1600GPH,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=aeromixer+moves+1600gph+hydroponics+product,,
74357,2008,940w Plantmax Conversion,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=940w+plantmax+conversion+hydroponics+product,,
74347,2875,58 Mogal Socket H.I.D,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=mogal+socket+hydroponics+product,,
74334,2397,3Gal Bucket,Containers &amp; Pots | Hydroponic Systems | Indoor Growing,category-indoor-growing.png,https://www.google.com/search?tbm=isch&q=3gal+bucket+hydroponics+product,,
74321,3074,3/to 1/2/'compresion coupler,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=compresion+coupler+hydroponics+product,,
74320,2115,3/Thru H0le,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=thru+h0le+hydroponics+product,,
74319,1032,3/inlet,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=inlet+hydroponics+product,,
74318,1982,3/4  tee,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=tee+hydroponics+product,,
74317,797,3 Site Plug,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=site+plug+hydroponics+product,,
74304,2893,20 double HEAVEY DUTY Saucers,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=double+heavey+duty+saucers+hydroponics+product,,
74303,3420,20 ml syringe Sterile/clear,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=syringe+sterile+clear+hydroponics+product,,
74298,2894,17 Double HEAVEY DUTY Saucers,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=double+heavey+duty+saucers+hydroponics+product,,
74278,1392,1 1/Tube Drain Bulk Head,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=tube+drain+bulk+head+hydroponics+product,,
74273,2564,Vita Race,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=vita+race+hydroponics+product,,
74272,261,VHO Foliar,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=vho+foliar+hydroponics+product,,
74263,3547,SUPER Canna Laco Serum 250 ml,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-cannabis-seeds.png,https://www.google.com/search?tbm=isch&q=super+canna+laco+serum+hydroponics+product,,
74262,2563,Sugar Royal Lt,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=sugar+royal+hydroponics+product,,
74245,3546,Seawater Extract = Flavor 250ml,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=seawater+extract+flavor+250ml+hydroponics+product,,
74242,2163,Rootbastic,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=rootbastic+hydroponics+product,,
74236,991,Purespray Green 32oz,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=purespray+green+32oz+hydroponics+product,,
74235,2560,Pure Enzym Lt,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=pure+enzym+hydroponics+product,,
74222,3434,"PARAGRO Jumbo, x 6x4",Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=paragro+jumbo+6x4+hydroponics+product,,
74217,3384,Neptunes Harvest 32oz 2-4-2,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=neptunes+harvest+32oz+hydroponics+product,,
74216,3545,NANO SULFURTERPENE Boost 250ml,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=nano+sulfurterpene+boost+250ml+hydroponics+product,,
74214,3453,MontereyBT R.T.U.32oz,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=montereybt+32oz+hydroponics+product,,
74211,2547,Micro Kill Lt,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://www.google.com/search?tbm=isch&q=micro+kill+hydroponics+product,,
